,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,Payout Cost,s_1,s_2
193,6.79,5.36,1.43,6.79,5.71,4.52,1.19,0.01,7.56,12.12,5.70,456.09,6.07,4.45
194,5.57,6.76,1.19,6.76,4.73,5.80,1.07,0.00,6.50,11.08,5.56,458.42,4.78,6.18
195,5.56,5.22,0.35,5.56,4.45,4.56,0.11,0.00,6.85,12.71,6.89,586.35,4.43,4.67
196,5.64,5.40,0.24,5.64,4.58,4.71,0.12,0.01,6.00,11.80,6.70,579.72,4.55,4.68
197,6.40,6.77,0.36,6.77,5.44,5.74,0.29,0.01,7.11,10.99,4.95,387.95,5.82,5.96
198,6.13,4.96,1.17,6.13,5.29,4.25,1.04,0.00,6.73,12.41,6.69,567.58,5.41,4.32
199,5.72,4.61,1.12,5.72,4.77,3.61,1.17,0.00,5.68,12.06,7.23,637.75,4.60,3.77
200,6.16,6.71,0.55,6.71,5.11,5.64,0.53,0.05,6.45,9.70,4.22,324.95,5.57,6.27
201,4.79,6.64,1.85,6.64,4.00,5.85,1.84,0.04,5.85,10.72,5.74,486.50,4.10,6.00
202,5.47,5.39,0.09,5.47,4.61,4.47,0.13,0.00,6.16,11.55,6.31,538.55,4.85,4.63
203,5.47,6.61,1.14,6.61,4.67,5.88,1.20,0.01,5.97,10.33,5.25,435.76,4.74,6.04
204,5.95,5.64,0.31,5.95,5.08,4.70,0.38,0.00,5.73,10.47,5.60,473.75,5.32,4.76
205,6.92,4.93,2.00,6.92,5.89,3.99,1.90,0.05,7.42,12.37,6.06,494.56,6.33,4.29
206,5.00,4.57,0.42,5.00,4.31,3.73,0.58,0.00,9.03,16.00,8.33,697.46,4.32,3.74
207,6.53,5.81,0.72,6.53,5.64,4.93,0.71,0.05,5.16,9.76,5.37,459.74,6.12,4.83
208,5.79,5.78,0.01,5.79,4.91,4.90,0.01,0.00,10.56,16.00,7.03,544.21,4.95,4.99
209,7.03,4.98,2.04,7.03,5.99,4.24,1.75,0.01,7.01,11.96,6.01,495.59,6.08,4.41
