,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,a_1,a_2,b_1,b_2
547,40.73,29.60,11.12,40.73,23.51,22.74,0.77,23.51,22.34,18.71,3.63,0.08,33.67,75.32,43.33,0.85,0.82,-14.30,-13.69
548,35.56,41.24,5.68,41.24,29.85,32.62,2.78,32.62,25.27,27.74,2.47,0.07,24.75,55.24,31.73,0.86,0.87,-22.03,-23.83
549,40.44,33.18,7.26,40.44,29.35,28.08,1.28,29.35,26.36,23.16,3.20,0.08,25.41,57.85,33.71,0.87,0.84,-23.29,-18.29
550,34.92,34.29,0.64,34.92,27.63,28.62,0.99,28.62,25.04,25.55,0.52,0.03,18.46,46.56,29.02,0.89,0.90,-22.99,-24.36
551,35.20,38.03,2.83,38.03,28.59,27.73,0.86,28.59,25.26,24.74,0.51,0.07,24.23,57.43,34.41,0.90,0.83,-23.09,-18.69
552,37.39,37.23,0.15,37.39,27.98,31.26,3.28,31.26,25.26,25.75,0.49,0.07,22.30,53.29,32.11,0.85,0.84,-20.36,-21.83
553,36.66,34.20,2.46,36.66,30.02,28.21,1.81,30.02,26.00,25.09,0.91,0.07,23.16,51.68,29.68,0.87,0.85,-23.62,-20.47
554,37.68,38.73,1.04,38.73,28.86,28.88,0.02,28.88,24.88,25.07,0.19,0.09,15.85,47.29,32.24,0.85,0.88,-21.02,-22.38
555,37.14,40.71,3.56,40.71,31.81,30.86,0.96,31.81,26.16,26.53,0.37,0.09,21.76,50.58,29.91,0.90,0.87,-24.35,-23.72
556,40.23,34.31,5.92,40.23,31.48,28.13,3.35,31.48,26.92,24.33,2.59,0.05,22.20,51.58,30.49,0.86,0.82,-22.90,-20.14
557,34.06,36.92,2.86,36.92,29.59,31.35,1.75,31.35,25.16,27.07,1.91,0.11,28.44,55.13,28.12,0.93,0.83,-27.37,-21.19
558,33.74,35.76,2.02,35.76,29.09,29.63,0.54,29.63,25.30,25.67,0.37,0.02,16.06,45.32,30.06,0.93,0.85,-25.53,-21.36
559,36.51,31.82,4.69,36.51,27.97,28.65,0.67,28.65,25.25,23.95,1.30,0.04,24.93,56.69,33.01,0.84,0.86,-19.24,-22.35
560,29.15,34.99,5.84,34.99,26.00,29.44,3.43,29.44,23.09,26.55,3.45,0.03,24.78,54.08,30.54,0.85,0.91,-20.06,-24.94
561,32.14,36.52,4.38,36.52,28.02,28.53,0.51,28.53,23.63,24.78,1.15,0.06,18.63,49.93,32.23,0.88,0.81,-22.57,-18.20
562,33.50,33.64,0.14,33.64,26.10,26.36,0.26,26.36,23.74,22.66,1.07,0.06,25.67,57.92,33.53,0.87,0.81,-20.27,-17.42
563,34.74,39.41,4.67,39.41,26.44,28.18,1.74,28.18,23.13,25.69,2.56,0.09,19.61,52.88,34.25,0.85,0.91,-17.83,-23.08
