,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,a_1,a_2,b_1,b_2
289,36.90,34.07,2.83,36.90,29.42,29.30,0.12,29.42,26.11,25.37,0.74,0.05,60.53,90.00,32.50,0.88,0.86,-23.51,-22.15
290,38.36,40.68,2.32,40.68,32.66,35.68,3.02,35.68,28.39,28.94,0.55,0.04,62.28,90.00,30.84,0.85,0.82,-24.86,-23.97
291,35.00,35.59,0.59,35.59,30.97,28.34,2.63,30.97,26.61,25.68,0.93,0.04,64.67,90.00,28.57,0.86,0.84,-25.22,-21.95
292,34.93,32.27,2.65,34.93,29.35,27.28,2.07,29.35,25.30,24.54,0.76,0.04,64.60,90.00,28.63,0.86,0.86,-22.71,-21.85
293,37.73,34.48,3.25,37.73,33.07,29.70,3.37,33.07,26.21,25.27,0.94,0.09,63.94,86.87,26.12,0.86,0.83,-25.92,-22.10
294,35.79,36.07,0.28,36.07,30.14,28.23,1.91,30.14,25.86,24.97,0.89,0.02,63.01,90.00,30.14,0.88,0.86,-24.08,-21.65
295,42.95,43.79,0.83,43.79,31.80,31.93,0.13,31.93,26.81,27.47,0.66,0.09,62.24,90.00,30.87,0.84,0.84,-22.73,-22.85
296,40.17,36.10,4.07,40.17,32.49,28.77,3.71,32.49,27.80,24.65,3.16,0.05,64.41,90.00,28.81,0.87,0.84,-26.13,-20.72
297,34.54,37.09,2.54,37.09,30.81,31.25,0.44,31.25,25.22,26.61,1.39,0.03,54.97,80.79,28.57,0.86,0.87,-23.92,-24.38
298,40.26,40.83,0.57,40.83,32.67,31.17,1.50,32.67,26.17,25.95,0.21,0.06,59.68,90.00,33.31,0.82,0.85,-21.20,-22.67
299,38.59,41.11,2.52,41.11,30.42,31.28,0.85,31.28,27.17,27.75,0.58,0.04,54.67,90.00,38.06,0.85,0.86,-22.17,-22.41
300,37.88,36.66,1.21,37.88,31.24,32.25,1.01,32.25,27.12,26.22,0.90,0.04,62.97,90.00,30.18,0.89,0.86,-25.82,-23.50
301,40.58,41.43,0.85,41.43,31.52,33.42,1.91,33.42,28.28,27.33,0.95,0.08,63.67,90.00,29.51,0.86,0.80,-25.27,-21.08
302,41.55,37.36,4.19,41.55,33.62,29.65,3.97,33.62,28.96,26.05,2.91,0.05,59.27,90.00,33.69,0.88,0.84,-26.79,-20.82
