,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,s_1,s_2
145,4.96,5.35,0.39,5.35,5.09,5.77,0.68,5.77,4.22,4.89,0.67,0.00,2.50,8.10,5.72,4.28,5.18
146,5.18,7.24,2.06,7.24,5.02,6.91,1.88,6.91,4.30,5.95,1.66,0.07,3.20,7.67,4.63,4.33,6.54
147,5.79,5.14,0.65,5.79,6.03,5.37,0.65,6.03,4.98,4.55,0.42,0.00,3.01,8.68,5.82,5.05,4.34
148,4.80,7.12,2.32,7.12,5.06,7.11,2.05,7.11,4.25,6.03,1.78,0.03,3.17,8.00,4.98,4.28,6.20
149,5.11,5.52,0.41,5.52,5.17,5.61,0.45,5.61,4.37,4.78,0.41,0.00,2.87,8.75,6.02,4.32,4.71
150,6.79,5.03,1.76,6.79,7.05,5.39,1.66,7.05,5.80,4.37,1.43,0.04,3.64,8.61,5.15,6.27,4.35
151,6.83,5.40,1.43,6.83,6.81,5.54,1.27,6.81,5.86,4.69,1.17,0.04,3.40,8.00,4.77,6.06,4.68
152,4.72,5.34,0.62,5.34,5.18,5.26,0.07,5.26,4.31,4.43,0.12,0.00,2.97,9.34,6.52,4.44,4.38
153,5.29,7.14,1.85,7.14,5.60,7.15,1.56,7.15,4.75,5.98,1.23,0.06,3.89,8.00,4.31,4.79,6.21
154,5.18,4.94,0.24,5.18,5.46,5.29,0.18,5.46,4.43,4.48,0.05,0.00,4.49,10.56,6.29,4.54,4.68
155,5.17,5.25,0.08,5.25,5.27,5.30,0.03,5.30,4.31,4.43,0.12,0.01,2.59,8.83,6.37,4.52,4.41
156,7.33,4.58,2.75,7.33,7.33,4.81,2.52,7.33,6.41,4.16,2.25,0.03,3.49,8.00,4.69,6.55,4.15
157,5.48,5.39,0.08,5.48,5.63,5.58,0.05,5.63,4.54,4.72,0.18,0.00,2.57,8.61,6.16,4.42,4.77
158,7.02,7.06,0.04,7.06,7.06,7.08,0.02,7.08,6.12,5.91,0.21,0.04,4.12,7.08,3.17,6.43,6.44
159,5.66,6.01,0.35,6.01,5.81,6.01,0.21,6.01,4.92,4.96,0.03,0.03,3.02,7.87,5.00,5.15,5.22
160,5.49,6.32,0.84,6.32,5.56,6.75,1.20,6.75,4.60,5.63,1.03,0.02,3.24,7.85,4.76,4.71,6.16
161,5.05,5.29,0.24,5.29,5.24,5.53,0.30,5.53,4.32,4.81,0.49,0.00,2.78,8.26,5.62,4.67,4.97
162,4.90,7.03,2.13,7.03,5.10,6.93,1.83,6.93,4.23,5.88,1.65,0.05,3.38,8.00,4.79,4.42,6.14
163,5.81,7.25,1.44,7.25,5.93,7.18,1.25,7.18,4.84,6.04,1.20,0.04,3.93,8.00,4.27,4.97,6.45
164,5.46,6.34,0.87,6.34,5.73,6.69,0.96,6.69,5.03,5.61,0.59,0.00,2.39,6.99,4.71,5.12,5.90
165,4.66,5.09,0.43,5.09,4.99,5.14,0.15,5.14,4.12,4.45,0.33,0.00,2.57,8.86,6.42,4.23,4.58
166,5.12,4.89,0.23,5.12,5.39,5.19,0.20,5.39,4.51,4.37,0.14,0.00,2.62,8.72,6.23,4.62,4.37
167,5.60,5.33,0.26,5.60,5.44,5.38,0.06,5.44,4.64,4.55,0.09,0.01,2.51,8.38,5.99,4.83,4.43
168,5.28,5.06,0.22,5.28,5.64,5.26,0.39,5.64,4.77,4.40,0.37,0.00,3.60,9.62,6.20,4.73,4.49
169,5.73,6.29,0.57,6.29,5.72,6.52,0.80,6.52,4.84,5.68,0.84,0.02,2.87,7.42,4.69,4.98,5.90
170,4.98,5.94,0.96,5.94,5.30,6.44,1.14,6.44,4.37,5.53,1.16,0.00,2.75,8.00,5.39,4.45,5.84
171,7.29,6.69,0.60,7.29,7.20,6.79,0.41,7.20,5.99,5.84,0.15,0.05,4.17,7.34,3.38,6.56,6.09
172,6.36,4.55,1.80,6.36,5.98,4.53,1.45,5.98,4.99,3.95,1.04,0.02,2.58,8.36,5.91,5.14,4.07
173,5.38,6.44,1.06,6.44,5.50,6.59,1.08,6.59,4.75,5.75,1.00,0.00,4.00,8.34,4.54,4.80,6.14
174,4.96,5.64,0.67,5.64,5.02,5.86,0.83,5.86,4.24,4.93,0.69,0.00,2.56,8.20,5.76,4.28,5.14
175,5.73,6.75,1.02,6.75,5.78,6.92,1.15,6.92,4.91,5.71,0.80,0.02,3.31,7.71,4.57,4.89,5.83
176,6.93,5.15,1.78,6.93,6.74,5.36,1.38,6.74,5.54,4.62,0.92,0.08,3.26,8.00,4.91,5.76,4.79
177,6.49,6.30,0.18,6.49,6.52,6.48,0.04,6.52,5.38,5.62,0.24,0.02,2.57,6.43,3.99,5.97,5.77
178,5.42,5.20,0.22,5.42,5.42,5.44,0.02,5.44,4.59,4.72,0.13,0.00,3.18,8.98,5.96,4.66,4.78
179,5.41,5.61,0.20,5.61,5.53,5.94,0.41,5.94,4.59,5.07,0.48,0.00,3.03,8.56,5.68,4.63,5.23
180,4.84,5.41,0.57,5.41,5.20,5.65,0.45,5.65,4.19,4.66,0.47,0.00,3.11,9.41,6.46,4.30,4.75
181,5.65,4.42,1.23,5.65,5.77,4.92,0.85,5.77,4.96,4.02,0.94,0.00,4.65,10.76,6.34,4.90,4.19
182,5.50,6.83,1.33,6.83,5.71,6.92,1.21,6.92,4.75,5.92,1.17,0.01,3.66,8.00,4.52,4.80,6.15
183,5.46,5.55,0.09,5.55,5.42,5.62,0.20,5.62,4.56,4.75,0.19,0.00,3.24,8.80,5.72,4.52,4.90
184,4.59,5.45,0.86,5.45,5.31,5.51,0.20,5.51,4.35,4.76,0.42,0.00,2.70,9.00,6.43,4.33,4.67
185,4.85,6.05,1.20,6.05,5.00,6.36,1.36,6.36,4.25,5.28,1.03,0.00,2.81,7.97,5.30,4.52,5.45
186,5.68,5.40,0.28,5.68,5.64,5.40,0.24,5.64,4.71,4.55,0.16,0.00,2.40,8.57,6.30,4.55,4.59
187,4.94,4.96,0.02,4.96,5.21,5.46,0.25,5.46,4.30,4.49,0.19,0.00,3.14,9.09,6.11,4.33,4.88
188,6.43,5.94,0.49,6.43,6.67,6.25,0.41,6.67,5.51,5.28,0.23,0.01,3.84,7.72,4.07,5.91,5.85
189,6.80,4.62,2.18,6.80,6.98,5.26,1.72,6.98,5.98,4.33,1.66,0.01,3.49,8.30,4.98,6.42,4.43
190,5.34,6.45,1.11,6.45,5.18,6.82,1.64,6.82,4.38,5.75,1.37,0.03,3.48,8.00,4.69,4.49,5.99
191,7.10,5.48,1.62,7.10,7.03,5.75,1.28,7.03,5.82,4.77,1.05,0.00,3.64,8.00,4.54,6.24,4.82
192,6.66,5.15,1.51,6.66,6.85,5.40,1.45,6.85,5.85,4.50,1.35,0.00,3.39,8.00,4.78,6.29,4.69
