,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,s_1,s_2
577,34.48,34.41,0.07,34.48,26.15,26.46,0.31,26.46,23.73,24.11,0.38,0.06,50.43,87.48,39.57,26.29,25.65
578,29.06,34.46,5.40,34.46,26.22,28.01,1.79,28.01,23.01,25.12,2.11,0.03,59.76,90.00,33.23,27.24,28.20
579,33.05,32.12,0.93,33.05,28.01,28.08,0.07,28.08,23.86,24.34,0.48,0.05,42.02,68.39,28.47,29.06,29.48
580,42.87,31.52,11.35,42.87,28.00,22.88,5.12,28.00,25.71,22.49,3.23,0.07,50.00,90.00,42.50,26.05,23.51
581,31.60,38.59,6.98,38.59,26.18,28.98,2.80,28.98,23.44,26.55,3.11,0.10,56.66,89.38,35.55,27.57,28.18
582,32.75,38.81,6.06,38.81,26.11,28.28,2.17,28.28,24.16,26.32,2.16,0.11,60.13,90.00,32.87,27.09,29.16
583,37.92,34.60,3.33,37.92,28.29,26.75,1.54,28.29,26.30,24.73,1.57,0.08,53.83,85.46,34.32,28.47,27.70
584,30.96,30.92,0.04,30.96,24.36,24.66,0.29,24.66,22.84,22.74,0.11,0.04,54.84,90.00,37.90,24.98,26.08
585,40.97,34.80,6.17,40.97,25.76,28.35,2.58,28.35,25.00,26.29,1.29,0.10,43.65,78.22,36.75,26.12,28.60
586,34.26,40.43,6.17,40.43,24.86,29.18,4.31,29.18,23.80,27.17,3.37,0.09,56.45,88.70,35.07,26.54,29.70
587,36.32,32.31,4.01,36.32,25.77,24.40,1.37,25.77,24.35,22.87,1.47,0.06,57.33,90.00,35.53,26.21,25.40
588,30.39,33.72,3.33,33.72,25.76,27.87,2.11,27.87,23.55,25.10,1.55,0.05,51.72,84.38,35.24,26.89,27.69
589,38.36,28.17,10.19,38.36,28.47,25.20,3.27,28.47,25.40,22.58,2.82,0.07,58.06,89.11,33.96,28.79,26.22
590,35.27,28.30,6.98,35.27,26.98,23.06,3.92,26.98,25.52,20.84,4.68,0.05,55.23,88.28,35.81,27.13,23.83
591,37.13,31.35,5.78,37.13,30.43,27.06,3.36,30.43,26.99,25.02,1.97,0.04,52.80,82.32,32.17,30.96,28.01
592,31.49,29.18,2.31,31.49,25.35,25.33,0.02,25.35,22.69,22.73,0.05,0.05,48.11,79.76,34.05,25.66,26.33
593,35.69,33.56,2.13,35.69,27.20,27.33,0.13,27.33,24.93,25.36,0.44,0.08,54.92,85.48,33.31,28.18,27.42
594,38.23,34.30,3.93,38.23,28.01,28.76,0.75,28.76,26.53,25.72,0.82,0.05,60.38,90.00,32.64,28.80,29.87
595,32.60,32.66,0.05,32.66,26.52,25.65,0.87,26.52,23.58,23.73,0.16,0.09,58.01,90.00,34.89,26.60,26.78
596,33.58,39.12,5.54,39.12,29.12,28.82,0.30,29.12,25.41,26.91,1.50,0.09,48.92,83.20,36.73,29.29,27.50
597,32.29,36.31,4.02,36.31,27.16,28.47,1.30,28.47,25.18,26.39,1.22,0.06,42.67,73.85,33.32,28.39,28.44
598,35.06,29.53,5.53,35.06,27.24,26.13,1.10,27.24,24.47,23.70,0.76,0.06,49.52,77.90,30.86,28.46,27.17
599,39.55,30.54,9.01,39.55,26.55,26.80,0.25,26.80,25.11,24.11,1.00,0.06,54.47,88.52,36.77,26.32,26.99
600,35.86,36.21,0.36,36.21,29.37,25.82,3.56,29.37,25.93,24.27,1.66,0.06,53.81,81.79,30.68,30.99,27.21
601,35.58,36.83,1.25,36.83,28.64,29.02,0.38,29.02,25.48,26.08,0.59,0.08,59.64,90.00,33.34,28.75,29.78
602,35.27,33.82,1.46,35.27,25.82,25.14,0.68,25.82,24.48,23.53,0.95,0.05,49.76,86.99,39.72,25.79,25.93
603,33.00,31.08,1.92,33.00,26.10,26.86,0.77,26.86,24.19,24.30,0.11,0.04,49.00,82.01,35.46,26.25,27.57
604,35.22,30.66,4.56,35.22,26.26,25.52,0.74,26.26,23.02,23.55,0.53,0.08,58.00,87.40,32.31,26.68,26.56
605,35.57,31.79,3.78,35.57,28.22,27.50,0.71,28.22,25.58,23.94,1.64,0.05,56.43,90.00,36.39,27.95,27.96
606,33.15,37.46,4.31,37.46,29.40,29.33,0.07,29.40,24.78,25.74,0.96,0.05,44.63,76.20,33.79,28.46,28.32
607,32.39,29.88,2.51,32.39,27.10,27.13,0.04,27.13,23.77,24.14,0.37,0.06,57.52,85.44,30.79,28.29,28.64
608,37.16,43.13,5.97,43.13,27.26,30.73,3.47,30.73,26.04,27.87,1.83,0.08,53.73,90.00,38.96,27.17,28.97
609,36.38,35.15,1.23,36.38,28.11,23.59,4.52,28.11,25.30,22.83,2.47,0.10,56.50,90.00,36.33,28.01,23.58
610,25.29,33.95,8.66,33.95,19.47,24.92,5.46,24.92,18.56,23.43,4.87,0.09,47.12,81.48,36.71,19.70,25.54
611,33.70,35.29,1.59,35.29,26.43,26.15,0.28,26.43,24.33,24.08,0.25,0.09,53.03,85.38,35.00,27.06,26.31
612,33.87,35.51,1.64,35.51,28.32,27.76,0.56,28.32,24.62,25.42,0.80,0.05,56.25,90.00,36.56,27.63,27.90
613,32.71,34.37,1.65,34.37,21.78,27.18,5.40,27.18,21.27,25.01,3.74,0.13,53.74,85.78,34.72,22.55,27.59
614,32.89,34.84,1.95,34.84,26.09,30.28,4.19,30.28,24.41,25.83,1.43,0.07,56.97,90.00,35.88,26.72,29.93
