,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,a_1,a_2,b_1,b_2
860,40.32,34.72,5.60,40.32,30.81,26.77,4.04,30.81,26.79,23.51,3.28,0.06,54.04,87.33,35.99,0.84,0.83,-21.29,-18.44
861,38.39,38.33,0.06,38.39,29.14,27.56,1.58,29.14,26.51,24.67,1.84,0.12,59.23,89.61,33.34,0.87,0.87,-23.18,-20.95
862,40.10,39.72,0.38,40.10,33.16,31.47,1.69,33.16,27.05,26.59,0.46,0.10,54.28,84.19,32.62,0.84,0.83,-24.47,-20.85
863,37.99,36.82,1.17,37.99,27.70,27.79,0.09,27.79,25.35,25.21,0.14,0.09,55.83,90.00,36.96,0.86,0.85,-20.87,-20.59
864,39.18,34.94,4.24,39.18,33.34,27.57,5.77,33.34,28.53,23.20,5.32,0.06,44.88,74.91,32.28,0.88,0.83,-24.84,-18.96
865,36.87,39.53,2.66,39.53,28.99,32.20,3.21,32.20,24.31,28.26,3.95,0.09,51.99,84.72,35.33,0.82,0.87,-19.15,-24.94
866,36.87,34.51,2.36,36.87,28.45,29.55,1.09,29.55,25.50,24.67,0.82,0.04,57.26,88.38,33.98,0.89,0.87,-22.11,-22.98
867,38.12,34.68,3.44,38.12,30.57,30.59,0.02,30.59,26.30,25.78,0.52,0.07,50.55,80.51,32.48,0.89,0.88,-23.69,-23.31
868,32.41,37.24,4.83,37.24,27.40,31.25,3.85,31.25,23.82,26.15,2.33,0.04,49.86,78.19,30.82,0.82,0.89,-18.38,-26.67
869,40.21,35.18,5.03,40.21,30.33,29.86,0.47,30.33,25.16,24.98,0.18,0.07,54.37,82.46,30.81,0.86,0.86,-21.66,-23.28
870,34.23,35.27,1.04,35.27,29.93,27.54,2.39,29.93,24.99,24.58,0.41,0.06,47.35,77.24,32.26,0.89,0.84,-24.95,-18.84
871,36.49,38.24,1.76,38.24,28.81,27.57,1.24,28.81,25.22,24.44,0.78,0.08,56.10,83.39,30.09,0.89,0.87,-23.95,-21.98
872,36.85,34.73,2.12,36.85,29.29,27.25,2.04,29.29,24.65,24.37,0.28,0.06,56.56,86.12,32.39,0.85,0.86,-22.07,-20.54
873,36.65,36.23,0.42,36.65,31.09,27.69,3.40,31.09,27.11,24.99,2.12,0.06,46.10,74.97,31.17,0.88,0.86,-24.42,-20.83
874,39.65,34.79,4.86,39.65,31.54,25.11,6.43,31.54,28.42,23.27,5.15,0.10,53.37,80.38,29.68,0.90,0.83,-27.09,-18.34
