,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,Payout Cost,s_1,s_2
219,5.64,5.63,0.01,5.64,4.71,4.67,0.05,0.00,9.46,15.31,7.27,585.39,4.79,4.80
220,5.31,5.83,0.52,5.83,4.49,4.95,0.46,0.01,6.94,12.02,6.13,508.51,4.68,4.73
221,6.05,5.26,0.79,6.05,5.18,4.31,0.88,0.01,8.79,13.48,6.01,469.53,5.42,4.36
222,5.86,7.17,1.30,7.17,4.93,6.19,1.26,0.05,9.98,13.77,5.28,378.40,5.07,6.61
223,5.48,5.76,0.28,5.76,4.58,4.87,0.29,0.00,8.68,14.75,7.37,606.61,4.47,5.12
224,5.19,6.32,1.13,6.32,4.35,5.39,1.03,0.00,10.19,15.84,7.18,565.29,4.10,5.57
225,4.44,7.10,2.65,7.10,3.68,6.08,2.40,0.04,8.56,14.31,7.03,574.82,4.04,6.19
226,5.43,7.09,1.66,7.09,4.61,5.87,1.26,0.03,8.83,13.01,5.51,418.41,4.73,6.48
227,5.46,6.09,0.63,6.09,4.46,5.16,0.70,0.01,10.41,16.00,7.15,558.88,4.68,5.26
228,5.61,5.44,0.17,5.61,4.83,4.52,0.31,0.01,10.36,16.00,7.20,564.44,4.91,4.57
229,5.69,7.15,1.46,7.15,4.82,6.03,1.21,0.04,9.09,13.10,5.37,400.87,4.91,6.42
230,4.92,5.13,0.21,5.13,4.13,4.25,0.11,0.00,9.19,16.00,8.18,680.51,4.16,4.50
231,7.06,5.71,1.34,7.06,6.16,4.77,1.39,0.05,7.99,12.30,5.51,430.75,6.53,4.65
232,7.12,5.11,2.01,7.12,5.84,4.12,1.72,0.05,9.21,12.99,5.17,378.74,6.50,4.22
233,5.37,6.01,0.64,6.01,4.48,4.98,0.50,0.02,10.90,15.59,6.33,469.13,4.59,5.33
