hhid,Cluster,NDVILocation,Season,HerdSize,LivestockLosses,MortalityRate
2022,Lower,Sagante/Jaldesa,SRSD 2012,201.0,42.0,0.208955223880597
2022,Lower,Sagante/Jaldesa,SRSD 2014,1.0,1.0,1.0
2023,Lower,Sagante/Jaldesa,LRLD 2009,,12.0,
2023,Lower,Sagante/Jaldesa,LRLD 2011,6.0,4.0,0.6666666666666666
2023,Lower,Sagante/Jaldesa,SRSD 2008,,2.0,
2024,Lower,Sagante/Jaldesa,LRLD 2010,1.0,1.0,1.0
2024,Lower,Sagante/Jaldesa,LRLD 2011,4.0,4.0,1.0
2024,Lower,Sagante/Jaldesa,LRLD 2012,5.0,1.0,0.2
2024,Lower,Sagante/Jaldesa,SRSD 2008,,2.0,
2024,Lower,Sagante/Jaldesa,SRSD 2011,5.0,3.0,0.6
2024,Lower,Sagante/Jaldesa,SRSD 2012,3.0,1.0,0.3333333333333333
2024,Lower,Sagante/Jaldesa,SRSD 2014,2.0,2.0,1.0
2025,Lower,Sagante/Jaldesa,LRLD 2009,,3.0,
2025,Lower,Sagante/Jaldesa,LRLD 2011,103.0,41.0,0.39805825242718446
2025,Lower,Sagante/Jaldesa,LRLD 2012,90.0,4.0,0.044444444444444446
2025,Lower,Sagante/Jaldesa,LRLD 2013,63.0,14.0,0.2222222222222222
2025,Lower,Sagante/Jaldesa,LRLD 2015,3.0,3.0,1.0
2025,Lower,Sagante/Jaldesa,SRSD 2010,103.0,6.0,0.05825242718446602
2025,Lower,Sagante/Jaldesa,SRSD 2011,90.0,9.0,0.1
2025,Lower,Sagante/Jaldesa,SRSD 2012,63.0,28.0,0.4444444444444444
2026,Lower,Sagante/Jaldesa,LRLD 2009,,19.0,
2026,Lower,Sagante/Jaldesa,LRLD 2010,9.0,1.0,0.1111111111111111
2026,Lower,Sagante/Jaldesa,LRLD 2011,9.0,9.0,1.0
2026,Lower,Sagante/Jaldesa,LRLD 2013,9.0,2.0,0.2222222222222222
2026,Lower,Sagante/Jaldesa,SRSD 2008,,1.0,
2027,Lower,Sagante/Jaldesa,LRLD 2009,,18.0,
2027,Lower,Sagante/Jaldesa,LRLD 2011,22.0,2.0,0.09090909090909091
2027,Lower,Sagante/Jaldesa,SRSD 2010,22.0,9.0,0.4090909090909091
2027,Lower,Sagante/Jaldesa,SRSD 2011,8.0,1.0,0.125
2028,Lower,Sagante/Jaldesa,LRLD 2009,,32.0,
2028,Lower,Sagante/Jaldesa,LRLD 2010,15.0,5.0,0.3333333333333333
2028,Lower,Sagante/Jaldesa,LRLD 2011,32.0,24.0,0.75
2028,Lower,Sagante/Jaldesa,SRSD 2008,,20.0,
2028,Lower,Sagante/Jaldesa,SRSD 2009,15.0,5.0,0.3333333333333333
2028,Lower,Sagante/Jaldesa,SRSD 2011,7.0,2.0,0.2857142857142857
2028,Lower,Sagante/Jaldesa,SRSD 2014,2.0,2.0,1.0
2029,Lower,Sagante/Jaldesa,LRLD 2009,,11.0,
