Location,Season,Full Season,Preseason,PosZNDVI,NegZNDVI,PreNDVI,PostNDVI
Loiyangalani,LRLD 2009,SRSD Full 2009,SRSD Pre 2009,99258.90827804999,975694.3892655587,-876435.4809875087,-876435.4809875087
Loiyangalani,LRLD 2010,SRSD Full 2010,SRSD Pre 2010,852073.814768968,358530.7259609811,493543.08880798693,493543.08880798693
Loiyangalani,LRLD 2011,SRSD Full 2011,SRSD Pre 2011,150703.85846827482,1011328.735782108,-860624.8773138332,-860624.8773138332
Loiyangalani,LRLD 2012,SRSD Full 2012,SRSD Pre 2012,698629.9073482729,313323.39852386166,385306.5088244112,385306.5088244112
Loiyangalani,LRLD 2013,SRSD Full 2013,SRSD Pre 2013,621035.7544147138,346982.82656091166,274052.9278538021,274052.9278538021
Loiyangalani,LRLD 2014,SRSD Full 2014,SRSD Pre 2014,717397.6816230776,480594.3504779318,236803.33114514576,236803.33114514576
Loiyangalani,LRLD 2015,SRSD Full 2015,SRSD Pre 2015,264266.67829812126,586859.3304368047,-322592.65213868336,-322592.65213868336
Loiyangalani,SRSD 2008,LRLD Full 2009,LRLD Pre 2009,495952.57427949266,178135.79830464526,317816.7759748474,317816.7759748474
Loiyangalani,SRSD 2009,LRLD Full 2010,LRLD Pre 2010,378136.1416634669,271577.13791485754,106559.00374860934,106559.00374860934
Loiyangalani,SRSD 2010,LRLD Full 2011,LRLD Pre 2011,73236.33447014297,594251.786614385,-521015.45214424195,-521015.45214424195
Loiyangalani,SRSD 2011,LRLD Full 2012,LRLD Pre 2012,926860.8930697398,96955.78042300741,829905.1126467325,829905.1126467325
Loiyangalani,SRSD 2012,LRLD Full 2013,LRLD Pre 2013,313964.00650640513,216930.26062907162,97033.74587733351,97033.74587733351
Loiyangalani,SRSD 2013,LRLD Full 2014,LRLD Pre 2014,158121.04637621588,290348.1211337395,-132227.07475752357,-132227.07475752357
Loiyangalani,SRSD 2014,LRLD Full 2015,LRLD Pre 2015,246012.75637729713,369188.8300879178,-123176.07371062067,-123176.07371062067
Loiyangalani,SRSD 2015,LRLD Full 2016,LRLD Pre 2016,241274.4841319055,87756.1948428255,153518.28928908,153518.28928908
Maikona,LRLD 2008,SRSD Full 2008,SRSD Pre 2008,665963.5565314977,1246703.9918100953,-580740.4352785975,-580740.4352785975
Maikona,LRLD 2009,SRSD Full 2009,SRSD Pre 2009,90686.98159953918,2516411.947624954,-2425724.966025415,-2425724.966025415
Maikona,LRLD 2010,SRSD Full 2010,SRSD Pre 2010,2454084.385567913,849219.4830183561,1604864.9025495567,1604864.9025495567
Maikona,LRLD 2011,SRSD Full 2011,SRSD Pre 2011,311027.4178176526,2110046.6787313116,-1799019.260913659,-1799019.260913659
Maikona,LRLD 2012,SRSD Full 2012,SRSD Pre 2012,1558936.0508883235,544533.1318110065,1014402.919077317,1014402.919077317
Maikona,LRLD 2013,SRSD Full 2013,SRSD Pre 2013,1590923.5738808415,633630.4723067844,957293.1015740571,957293.1015740571
Maikona,LRLD 2014,SRSD Full 2014,SRSD Pre 2014,867013.4120378984,1188505.5250528553,-321492.11301495694,-321492.11301495694
Maikona,LRLD 2015,SRSD Full 2015,SRSD Pre 2015,952777.1254066413,1183558.4847032158,-230781.35929657455,-230781.35929657455
Maikona,SRSD 2008,LRLD Full 2009,LRLD Pre 2009,847592.5809036855,546024.8918220872,301567.68908159836,301567.68908159836
Maikona,SRSD 2009,LRLD Full 2010,LRLD Pre 2010,880615.2663203712,723706.6150759917,156908.6512443794,156908.6512443794
Maikona,SRSD 2010,LRLD Full 2011,LRLD Pre 2011,157664.31617903756,1365423.9472614902,-1207759.6310824526,-1207759.6310824526
Maikona,SRSD 2011,LRLD Full 2012,LRLD Pre 2012,3629912.6518170834,186686.09944642946,3443226.552370654,3443226.552370654
Maikona,SRSD 2012,LRLD Full 2013,LRLD Pre 2013,640238.3027664373,535999.3118116715,104238.99095476585,104238.99095476585
Maikona,SRSD 2013,LRLD Full 2014,LRLD Pre 2014,431126.03332722926,597793.5513836837,-166667.51805645446,-166667.51805645446
Maikona,SRSD 2014,LRLD Full 2015,LRLD Pre 2015,190137.40719334705,1155145.6563232352,-965008.2491298883,-965008.2491298883
Maikona,SRSD 2015,LRLD Full 2016,LRLD Pre 2016,536128.7096597967,224310.24632190904,311818.46333788766,311818.46333788766
Marsabit Central,LRLD 2008,SRSD Full 2008,SRSD Pre 2008,17326.902186580424,72160.858511031,-54833.95632445057,-54833.95632445057
Marsabit Central,LRLD 2009,SRSD Full 2009,SRSD Pre 2009,3942.9986154077237,147848.21113490805,-143905.21251950032,-143905.21251950032
Marsabit Central,LRLD 2010,SRSD Full 2010,SRSD Pre 2010,67162.24957492258,64076.061706309054,3086.1878686135246,3086.1878686135246
Marsabit Central,LRLD 2011,SRSD Full 2011,SRSD Pre 2011,8925.029592797348,134223.96795234864,-125298.93835955129,-125298.93835955129
Marsabit Central,LRLD 2012,SRSD Full 2012,SRSD Pre 2012,178041.02948475187,7980.275061165621,170060.75442358624,170060.75442358624
Marsabit Central,LRLD 2013,SRSD Full 2013,SRSD Pre 2013,135426.34776336286,16540.46783746273,118885.87992590012,118885.87992590012
Marsabit Central,LRLD 2014,SRSD Full 2014,SRSD Pre 2014,40233.176446662685,53203.42801352454,-12970.251566861856,-12970.251566861856
Marsabit Central,LRLD 2015,SRSD Full 2015,SRSD Pre 2015,28723.370237714393,50605.67372313935,-21882.303485424956,-21882.303485424956
Marsabit Central,SRSD 2008,LRLD Full 2009,LRLD Pre 2009,31648.80226834807,26623.24282481898,5025.559443529092,5025.559443529092
Marsabit Central,SRSD 2009,LRLD Full 2010,LRLD Pre 2010,28772.713601987234,42718.81080237786,-13946.097200390624,-13946.097200390624
Marsabit Central,SRSD 2010,LRLD Full 2011,LRLD Pre 2011,5250.951019712074,88786.60273149665,-83535.65171178457,-83535.65171178457
Marsabit Central,SRSD 2011,LRLD Full 2012,LRLD Pre 2012,166799.99672175702,10499.464407592342,156300.53231416468,156300.53231416468
Marsabit Central,SRSD 2012,LRLD Full 2013,LRLD Pre 2013,37705.12967357563,24138.706146187524,13566.423527388106,13566.423527388106
Marsabit Central,SRSD 2013,LRLD Full 2014,LRLD Pre 2014,41097.523781862925,15548.252274265562,25549.27150759736,25549.27150759736
Marsabit Central,SRSD 2014,LRLD Full 2015,LRLD Pre 2015,39695.91516256943,17013.07725593734,22682.83790663209,22682.83790663209
Marsabit Central,SRSD 2015,LRLD Full 2016,LRLD Pre 2016,21754.336993493755,10435.50294797473,11318.834045519025,11318.834045519025
Moyale Township,LRLD 2008,SRSD Full 2008,SRSD Pre 2008,2623.7411028559472,759.6728657314512,1864.0682371244961,1864.0682371244961
Moyale Township,LRLD 2009,SRSD Full 2009,SRSD Pre 2009,637.8758184176668,1400.915124327944,-763.0393059102773,-763.0393059102773
Moyale Township,LRLD 2010,SRSD Full 2010,SRSD Pre 2010,1724.603708326636,973.2366281098805,751.3670802167555,751.3670802167555
Moyale Township,LRLD 2011,SRSD Full 2011,SRSD Pre 2011,52.36965473327156,3596.9777792324585,-3544.608124499187,-3544.608124499187
Moyale Township,LRLD 2012,SRSD Full 2012,SRSD Pre 2012,1421.2088156900636,1135.2793502115994,285.9294654784642,285.9294654784642
Moyale Township,LRLD 2013,SRSD Full 2013,SRSD Pre 2013,3421.121675531597,1044.7787817518297,2376.342893779767,2376.342893779767
Moyale Township,LRLD 2014,SRSD Full 2014,SRSD Pre 2014,1605.754435574259,1319.9876821587247,285.76675341553425,285.76675341553425
Moyale Township,LRLD 2015,SRSD Full 2015,SRSD Pre 2015,897.242459212209,1805.1225570644895,-907.8800978522803,-907.8800978522803
Moyale Township,SRSD 2008,LRLD Full 2009,LRLD Pre 2009,1326.968490584726,315.25386383388224,1011.7146267508438,1011.7146267508438
Moyale Township,SRSD 2009,LRLD Full 2010,LRLD Pre 2010,334.5695941755419,822.1138956425689,-487.544301467027,-487.544301467027
Moyale Township,SRSD 2010,LRLD Full 2011,LRLD Pre 2011,22.28282854347467,2990.6216901966955,-2968.3388616532206,-2968.3388616532206
Moyale Township,SRSD 2011,LRLD Full 2012,LRLD Pre 2012,1516.1232187518137,311.79222293618113,1204.3309958156326,1204.3309958156326
Moyale Township,SRSD 2012,LRLD Full 2013,LRLD Pre 2013,1546.2572177759423,250.5603635434474,1295.6968542324948,1295.6968542324948
Moyale Township,SRSD 2013,LRLD Full 2014,LRLD Pre 2014,414.75168938931233,735.1626063131059,-320.41091692379354,-320.41091692379354
Moyale Township,SRSD 2014,LRLD Full 2015,LRLD Pre 2015,490.36454371460854,831.4216722613314,-341.0571285467229,-341.0571285467229
Moyale Township,SRSD 2015,LRLD Full 2016,LRLD Pre 2016,538.5574562768517,338.31177581517846,200.24568046167317,200.24568046167317
North Horr,LRLD 2008,SRSD Full 2008,SRSD Pre 2008,509168.90939114173,781254.6280385716,-272085.71864742984,-272085.71864742984
North Horr,LRLD 2009,SRSD Full 2009,SRSD Pre 2009,71704.29334852508,1392029.1343197527,-1320324.8409712277,-1320324.8409712277
North Horr,LRLD 2010,SRSD Full 2010,SRSD Pre 2010,2153202.714722985,218582.89580289787,1934619.8189200868,1934619.8189200868
North Horr,LRLD 2011,SRSD Full 2011,SRSD Pre 2011,329129.06596759125,1255749.960777133,-926620.8948095418,-926620.8948095418
North Horr,LRLD 2012,SRSD Full 2012,SRSD Pre 2012,688895.6184218451,538850.778713339,150044.83970850622,150044.83970850622
North Horr,LRLD 2013,SRSD Full 2013,SRSD Pre 2013,1077019.213329789,447752.9942347675,629266.2190950215,629266.2190950215
North Horr,LRLD 2014,SRSD Full 2014,SRSD Pre 2014,1163659.6808537215,696643.7079215104,467015.97293221095,467015.97293221095
North Horr,LRLD 2015,SRSD Full 2015,SRSD Pre 2015,148543.17244833894,1292559.5773520526,-1144016.4049037136,-1144016.4049037136
North Horr,SRSD 2008,LRLD Full 2009,LRLD Pre 2009,1011055.695639958,335913.11911529786,675142.5765246601,675142.5765246601
North Horr,SRSD 2009,LRLD Full 2010,LRLD Pre 2010,887311.7517218526,369945.05431508773,517366.6974067648,517366.6974067648
North Horr,SRSD 2010,LRLD Full 2011,LRLD Pre 2011,109782.96009270089,870178.1764924069,-760395.216399706,-760395.216399706
North Horr,SRSD 2011,LRLD Full 2012,LRLD Pre 2012,1946126.9537411388,96393.40761605637,1849733.5461250825,1849733.5461250825
North Horr,SRSD 2012,LRLD Full 2013,LRLD Pre 2013,278164.810445386,465246.93450479384,-187082.12405940788,-187082.12405940788
North Horr,SRSD 2013,LRLD Full 2014,LRLD Pre 2014,200369.65427129858,537081.2480485282,-336711.59377722966,-336711.59377722966
North Horr,SRSD 2014,LRLD Full 2015,LRLD Pre 2015,286547.4641704982,652659.1058794128,-366111.64170891466,-366111.64170891466
North Horr,SRSD 2015,LRLD Full 2016,LRLD Pre 2016,361196.8118098311,195186.47387763215,166010.33793219898,166010.33793219898
Obbu,LRLD 2008,SRSD Full 2008,SRSD Pre 2008,192013.92760111784,267743.36836808437,-75729.44076696651,-75729.44076696651
Obbu,LRLD 2009,SRSD Full 2009,SRSD Pre 2009,63318.26920774146,330924.47532445734,-267606.2061167159,-267606.2061167159
Obbu,LRLD 2010,SRSD Full 2010,SRSD Pre 2010,235828.2080550763,231338.30374415012,4489.904310926187,4489.904310926187
Obbu,LRLD 2011,SRSD Full 2011,SRSD Pre 2011,19293.77127907936,499746.84491287544,-480453.07363379607,-480453.07363379607
Obbu,LRLD 2012,SRSD Full 2012,SRSD Pre 2012,140476.9009170392,191413.53817145928,-50936.63725442009,-50936.63725442009
Obbu,LRLD 2013,SRSD Full 2013,SRSD Pre 2013,744725.9315879494,88942.29536768913,655783.6362202602,655783.6362202602
Obbu,LRLD 2014,SRSD Full 2014,SRSD Pre 2014,256707.29424636057,157972.76151804443,98734.53272831615,98734.53272831615
Obbu,LRLD 2015,SRSD Full 2015,SRSD Pre 2015,83863.68800076886,395134.3548706758,-311270.6668699069,-311270.6668699069
Obbu,SRSD 2008,LRLD Full 2009,LRLD Pre 2009,173613.8577649371,95083.3187631667,78530.5390017704,78530.5390017704
Obbu,SRSD 2009,LRLD Full 2010,LRLD Pre 2010,92641.64841079661,143761.51154555142,-51119.863134754814,-51119.863134754814
Obbu,SRSD 2010,LRLD Full 2011,LRLD Pre 2011,5229.977640033535,351784.4107770149,-346554.4331369814,-346554.4331369814
Obbu,SRSD 2011,LRLD Full 2012,LRLD Pre 2012,528105.6010883033,24685.28998106303,503420.3111072402,503420.3111072402
Obbu,SRSD 2012,LRLD Full 2013,LRLD Pre 2013,103025.72051429834,118466.93650753384,-15441.215993235506,-15441.215993235506
Obbu,SRSD 2013,LRLD Full 2014,LRLD Pre 2014,109482.34640276252,113466.0241262718,-3983.6777235092823,-3983.6777235092823
Obbu,SRSD 2014,LRLD Full 2015,LRLD Pre 2015,14355.97411517762,281804.33271614934,-267448.3586009717,-267448.3586009717
Obbu,SRSD 2015,LRLD Full 2016,LRLD Pre 2016,63736.234047267855,56229.224095029655,7507.009952238202,7507.009952238202
Sagante/Jaldesa,LRLD 2008,SRSD Full 2008,SRSD Pre 2008,27848.754570679816,55883.82410109114,-28035.069530411325,-28035.069530411325
Sagante/Jaldesa,LRLD 2009,SRSD Full 2009,SRSD Pre 2009,1829.3432605991866,186871.564731348,-185042.2214707488,-185042.2214707488
Sagante/Jaldesa,LRLD 2010,SRSD Full 2010,SRSD Pre 2010,41916.445880697,119667.71176207933,-77751.26588138234,-77751.26588138234
Sagante/Jaldesa,LRLD 2011,SRSD Full 2011,SRSD Pre 2011,2404.942696794045,218027.37765864405,-215622.43496185,-215622.43496185
Sagante/Jaldesa,LRLD 2012,SRSD Full 2012,SRSD Pre 2012,133822.44087635397,11164.95811496437,122657.48276138959,122657.48276138959
Sagante/Jaldesa,LRLD 2013,SRSD Full 2013,SRSD Pre 2013,208803.10199337502,21529.273272806786,187273.82872056824,187273.82872056824
Sagante/Jaldesa,LRLD 2014,SRSD Full 2014,SRSD Pre 2014,69435.400005494,65022.90546764315,4412.494537850852,4412.494537850852
Sagante/Jaldesa,LRLD 2015,SRSD Full 2015,SRSD Pre 2015,54995.57702945349,60549.727719446586,-5554.150689993096,-5554.150689993096
Sagante/Jaldesa,SRSD 2008,LRLD Full 2009,LRLD Pre 2009,30298.597865912398,29495.914662699583,802.6832032128126,802.6832032128126
