,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,s_1,s_2
581,4.48,4.63,0.15,0.00,2.99,9.09,6.25,4.46,4.62
582,4.32,5.14,0.83,0.00,2.96,8.51,5.70,4.43,5.38
583,4.54,4.20,0.33,0.00,3.10,9.28,6.33,4.60,4.24
584,4.62,6.14,1.53,0.02,3.34,7.90,4.72,4.61,6.34
585,6.17,4.55,1.62,0.01,3.41,8.00,4.76,6.30,4.69
586,5.22,5.20,0.02,0.01,2.38,7.05,4.79,5.34,5.25
587,4.31,4.71,0.40,0.00,3.71,9.98,6.45,4.15,4.78
588,4.82,5.38,0.57,0.01,3.35,8.55,5.36,4.61,5.67
589,6.10,4.66,1.44,0.01,3.90,7.93,4.23,6.20,4.95
590,5.76,5.14,0.62,0.04,3.55,7.39,4.02,6.13,5.40
591,5.98,4.65,1.33,0.00,3.12,7.36,4.40,6.27,4.74
592,5.50,4.56,0.94,0.01,3.19,8.36,5.33,5.55,4.71
593,4.90,4.24,0.66,0.00,3.48,9.33,6.02,4.86,4.36
594,5.04,4.97,0.07,0.01,3.03,7.87,5.00,5.41,4.91
595,4.58,4.65,0.07,0.00,3.20,9.05,6.00,4.71,4.32
596,5.95,4.10,1.85,0.01,3.37,7.96,4.76,6.43,4.21
597,4.77,4.47,0.30,0.00,3.16,9.02,6.02,4.66,4.53
598,4.05,4.23,0.18,0.00,3.03,9.90,7.02,4.11,4.37
599,4.22,4.59,0.37,0.00,3.24,9.21,6.13,4.23,4.52
600,4.27,4.49,0.22,0.00,2.08,8.35,6.37,4.18,4.57
601,4.79,4.84,0.05,0.00,3.08,8.68,5.76,4.84,4.93
602,4.25,4.74,0.49,0.01,3.32,9.44,6.29,4.35,4.84
603,4.88,5.62,0.74,0.01,3.71,8.00,4.48,5.11,5.99
604,4.28,5.81,1.53,0.02,2.98,8.08,5.25,4.33,6.03
605,5.88,5.27,0.61,0.06,3.15,7.15,4.16,5.92,5.29
606,5.87,5.39,0.48,0.00,3.97,7.83,4.06,6.17,5.79
607,4.61,4.81,0.21,0.00,3.94,9.67,5.93,4.72,4.97
608,6.18,4.59,1.60,0.00,3.55,8.00,4.63,6.39,4.76
609,4.15,4.87,0.72,0.00,3.97,10.28,6.50,4.20,4.86
610,4.47,5.65,1.18,0.02,3.14,8.14,5.16,4.59,5.95
611,4.45,5.78,1.33,0.02,3.45,8.00,4.72,4.51,6.21
612,4.37,5.91,1.55,0.01,3.10,8.02,5.07,4.49,6.10
613,4.22,5.80,1.58,0.00,3.02,8.00,5.13,4.36,6.04
614,5.00,4.64,0.36,0.00,3.25,8.35,5.26,5.12,4.74
615,6.32,4.58,1.74,0.02,3.33,8.00,4.84,6.33,4.44
616,4.70,4.29,0.41,0.00,3.14,8.66,5.67,5.18,4.41
617,4.87,4.31,0.56,0.01,3.66,9.34,5.86,5.11,4.46
618,4.79,6.00,1.21,0.01,3.50,7.73,4.40,4.92,6.09
619,5.65,4.41,1.24,0.02,4.01,8.87,5.05,5.93,4.46
620,5.77,4.43,1.34,0.02,3.47,8.32,5.03,6.04,4.49
621,5.90,5.76,0.14,0.06,3.62,6.95,3.51,6.19,5.95
622,4.34,6.25,1.90,0.03,3.39,7.97,4.75,4.20,6.67
623,6.15,5.62,0.53,0.03,3.34,6.50,3.33,6.37,6.15
