,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,a_1,a_2,b_1,b_2
181,24.63,23.07,1.56,0.03,61.42,90.00,31.66,0.93,0.91,-25.12,-21.61
182,25.01,24.94,0.07,0.04,50.28,80.71,32.94,0.87,0.91,-21.78,-24.64
183,23.96,23.85,0.11,0.09,51.51,81.18,32.24,0.89,0.90,-20.69,-22.92
184,23.63,25.29,1.66,0.07,53.33,81.14,30.48,0.89,0.86,-23.75,-21.51
185,24.12,25.52,1.40,0.06,61.41,90.00,31.66,0.84,0.90,-20.09,-24.15
186,25.86,25.40,0.45,0.07,58.29,90.00,34.63,0.90,0.85,-24.91,-19.65
187,24.06,23.90,0.16,0.11,52.02,84.58,35.16,0.87,0.83,-22.42,-18.07
188,24.52,24.14,0.38,0.05,58.97,90.00,33.98,0.87,0.87,-20.87,-22.41
189,24.31,23.20,1.12,0.11,64.98,90.00,28.27,0.93,0.86,-25.26,-21.15
190,26.45,21.97,4.48,0.04,51.88,84.44,35.15,0.89,0.83,-23.67,-17.89
191,25.23,25.67,0.45,0.04,38.66,70.05,33.32,0.87,0.91,-21.28,-24.88
192,25.37,26.86,1.49,0.06,56.42,84.67,31.07,0.83,0.88,-21.53,-24.81
193,24.15,23.72,0.43,0.05,56.64,90.00,36.19,0.88,0.90,-21.36,-21.46
194,19.94,22.71,2.78,0.06,46.85,90.00,45.50,0.82,0.86,-13.86,-16.00
195,23.28,24.42,1.14,0.05,57.46,85.90,31.32,0.88,0.88,-21.78,-22.33
196,24.40,23.85,0.55,0.11,49.62,80.54,33.39,0.92,0.92,-22.63,-23.35
197,26.89,25.36,1.53,0.05,42.30,72.07,31.89,0.86,0.87,-22.48,-22.42
198,25.78,23.39,2.39,0.11,51.87,83.97,34.69,0.90,0.89,-23.57,-21.94
199,22.98,25.65,2.67,0.06,49.79,79.81,32.51,0.85,0.88,-19.28,-23.74
200,23.80,22.87,0.93,0.08,49.31,85.93,39.08,0.86,0.87,-18.28,-18.43
201,24.53,25.38,0.85,0.06,47.35,81.28,36.30,0.85,0.86,-18.60,-22.22
202,24.59,26.07,1.48,0.06,55.71,87.29,34.37,0.86,0.90,-20.35,-24.95
203,23.91,24.77,0.86,0.05,42.96,74.04,33.22,0.89,0.87,-21.45,-22.70
204,22.35,24.12,1.77,0.03,47.01,80.99,36.33,0.87,0.89,-18.81,-21.95
205,25.30,25.69,0.40,0.10,40.61,71.05,32.47,0.87,0.90,-21.46,-24.81
206,24.43,28.03,3.60,0.13,53.55,84.63,33.76,0.88,0.90,-21.52,-25.10
207,23.32,25.37,2.05,0.06,55.63,87.95,35.10,0.87,0.92,-21.15,-23.76
208,24.30,24.80,0.51,0.01,43.89,72.06,30.37,0.88,0.90,-22.37,-24.20
