,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,s_1,s_2
228,26.27,22.83,3.44,0.03,57.19,90.00,35.67,28.30,26.09
229,23.67,22.62,1.06,0.01,57.87,90.00,35.02,26.72,25.60
230,23.45,24.43,0.98,0.03,59.05,90.00,33.91,27.04,27.08
231,24.09,24.64,0.55,0.05,58.73,90.00,34.21,27.16,27.65
232,25.09,26.68,1.59,0.10,60.50,90.00,32.52,26.71,28.61
233,23.45,25.76,2.31,0.02,62.18,90.00,30.93,27.07,29.01
234,24.13,23.72,0.41,0.06,57.31,90.00,35.55,26.91,27.40
235,25.22,25.79,0.57,0.08,49.40,90.00,43.07,25.15,25.63
236,23.67,24.41,0.74,0.04,55.84,90.00,36.95,25.01,26.71
237,25.26,24.99,0.26,0.06,53.28,90.00,39.38,26.60,26.40
238,24.79,25.62,0.83,0.01,62.01,90.00,31.09,28.11,28.38
239,24.19,23.11,1.08,0.06,63.03,90.00,30.12,27.67,26.91
240,21.89,21.23,0.65,0.01,56.51,90.00,36.32,25.06,24.58
241,25.64,24.57,1.07,0.10,59.90,90.00,33.09,27.37,26.92
242,24.13,24.03,0.10,0.05,58.51,90.00,34.41,27.47,25.82
243,26.34,25.41,0.94,0.03,57.35,90.00,35.52,27.84,28.21
244,25.46,26.20,0.73,0.06,65.09,90.00,28.17,28.58,30.15
245,23.85,17.23,6.61,0.05,50.68,90.00,41.85,26.09,17.39
246,24.20,24.13,0.07,0.07,57.34,90.00,35.53,26.28,27.08
247,25.17,25.37,0.20,0.05,56.66,90.00,36.17,28.23,28.49
248,24.90,25.27,0.37,0.05,54.70,90.00,38.04,26.95,27.23
249,26.45,23.67,2.78,0.02,52.51,90.00,40.12,28.79,25.31
250,23.60,23.79,0.19,0.02,61.07,90.00,31.99,26.62,28.28
251,25.59,23.68,1.91,0.04,63.00,90.00,30.15,28.71,25.98
252,22.10,21.77,0.33,0.01,60.00,89.51,32.51,25.99,25.56
253,23.77,25.86,2.09,0.05,56.78,90.00,36.06,27.15,27.82
254,22.94,23.87,0.93,0.07,59.35,90.00,33.62,25.81,25.73
255,24.22,26.14,1.92,0.07,57.13,90.00,35.73,27.44,28.31
256,25.85,25.39,0.47,0.04,66.14,90.00,27.16,29.71,28.13
257,22.22,21.67,0.54,0.04,53.47,90.00,39.20,24.22,24.60
258,24.45,24.03,0.42,0.05,56.04,90.00,36.76,27.34,26.07
259,24.36,26.04,1.68,0.05,62.11,90.00,30.99,27.47,30.31
260,24.49,23.78,0.71,0.02,59.29,90.00,33.68,28.32,27.48
261,22.72,21.74,0.98,0.02,54.37,90.00,38.35,25.19,23.60
262,25.05,24.22,0.83,0.01,51.94,90.00,40.66,26.88,25.99
263,23.07,24.86,1.78,0.08,55.17,90.00,37.59,24.06,26.44
