201701_Evap_tavg,201702_Evap_tavg,201703_Evap_tavg,201704_Evap_tavg,201705_Evap_tavg,201706_Evap_tavg,201707_Evap_tavg,201708_Evap_tavg,201709_Evap_tavg,201710_Evap_tavg,201711_Evap_tavg,201712_Evap_tavg,201801_Evap_tavg,201802_Evap_tavg,201803_Evap_tavg,201804_Evap_tavg,201805_Evap_tavg,201806_Evap_tavg,201807_Evap_tavg,201808_Evap_tavg,201809_Evap_tavg,201810_Evap_tavg,201811_Evap_tavg,201812_Evap_tavg,ADM3_PCODE
5.270278767101991e-05,6.065928951852061e-05,5.8566508642436975e-05,4.730626098007342e-05,4.703997605889061e-05,4.9840740373863736e-05,5.212241712372028e-05,4.70184782263269e-05,4.6616323117507694e-05,4.500434594450248e-05,4.382100684696848e-05,4.830666312549678e-05,4.808513608142023e-05,5.069539626315725e-05,4.392808961040942e-05,4.070070098295161e-05,4.642888199009568e-05,4.914652954774061e-05,4.91406948142656e-05,4.936368112003758e-05,4.58629913267316e-05,3.8854583508463286e-05,4.679442666643683e-05,4.4632012454318334e-05,TH840208
5.580115965692994e-05,6.204614385823688e-05,5.119326071070876e-05,4.304482629668088e-05,4.2924944811967227e-05,4.86541089684481e-05,5.1594286195722456e-05,4.543496744606705e-05,4.582667252735435e-05,4.590390801533298e-05,4.343481395345343e-05,5.254390720049523e-05,5.063634076165714e-05,5.308925162778809e-05,3.805425668529948e-05,3.742499486054217e-05,4.022321086534364e-05,5.003243777602699e-05,5.0228459977891226e-05,4.919418807075547e-05,4.553638089799797e-05,3.85208130391724e-05,5.1484423868428174e-05,4.742507471167959e-05,TH840601
5.455223799799569e-05,6.1617603932973e-05,4.993976835976355e-05,4.30076070188079e-05,4.287686897441745e-05,4.876219099969603e-05,5.11249563714955e-05,4.588050069287419e-05,4.6196211769711226e-05,4.585704664350487e-05,4.270094359526411e-05,5.195751873543486e-05,5.102053546579555e-05,5.19915483891964e-05,3.738495433935896e-05,3.751259282580577e-05,4.0576414903625846e-05,5.00967689731624e-05,5.0661965360632166e-05,4.868982068728656e-05,4.610064206644893e-05,3.91724897781387e-05,5.1063143473584205e-05,4.742037344840355e-05,TH840603
5.502996338347372e-05,6.178185955525187e-05,5.041976264165056e-05,4.302209523493725e-05,4.289542670152156e-05,4.872141142060003e-05,5.130514255972719e-05,4.571069923386311e-05,4.605537159523664e-05,4.587535127156697e-05,4.2981736859293526e-05,5.218184615275519e-05,5.087340175445144e-05,5.241169151657452e-05,3.764109941419576e-05,3.747894409199228e-05,4.044152044112087e-05,5.007272819045262e-05,5.049689426334507e-05,4.888370998938384e-05,4.588561114200907e-05,3.892345501135416e-05,5.122445700411591e-05,4.742194143549141e-05,TH840604
5.6282136505962086e-05,6.016546013550526e-05,4.918775936674635e-05,4.170190607379299e-05,4.198409155416938e-05,4.501499549621749e-05,4.790505073565115e-05,4.130262771046781e-05,4.214319090056183e-05,4.308636993947616e-05,4.2897694088613705e-05,5.216745707389496e-05,5.10632995468945e-05,5.230696488322293e-05,3.855143075666191e-05,3.886957237001756e-05,3.923120922530158e-05,4.68327614935816e-05,4.538909576106128e-05,4.44445938601825e-05,4.058201127290925e-05,3.613989711351056e-05,4.990005928314412e-05,4.814167930403e-05,TH840605
5.624999757044602e-05,6.22129200254299e-05,5.172574349846164e-05,4.308389889314821e-05,4.295480994308975e-05,4.862268639945511e-05,5.18044180582181e-05,4.528292733942557e-05,4.567673722726018e-05,4.588909248291994e-05,4.3672143212923486e-05,5.2716961396981103e-05,5.044709781783508e-05,5.352828587122494e-05,3.839242388255122e-05,3.744301611334863e-05,4.014243480631951e-05,5.005674299226859e-05,5.00928868349992e-05,4.9496957805487695e-05,4.538059931850496e-05,3.823536043713775e-05,5.1578587481570654e-05,4.735590019436001e-05,TH840606
5.276851768145885e-05,6.0915447418553685e-05,5.087584617733703e-05,4.389268398587102e-05,4.313830353684732e-05,4.8858564901527545e-05,5.126832879592193e-05,4.632132255902702e-05,4.591713711535696e-05,4.491310748711738e-05,4.1071351965775786e-05,5.020928347126304e-05,4.964811460045489e-05,5.130220972476713e-05,3.8412592286379526e-05,3.891950293332443e-05,4.202869926127546e-05,5.09698390942186e-05,5.112467724048355e-05,5.125500483853576e-05,4.7756720529578745e-05,3.851630463667134e-05,4.875745772694135e-05,4.516348598880748e-05,TH840608
5.51717241403275e-05,5.972289416285444e-05,5.08567723224977e-05,4.236969933523991e-05,4.2268743195376594e-05,4.716286104969519e-05,4.978706038285788e-05,4.379099266867341e-05,4.386784205859658e-05,4.471779849545343e-05,4.368180921398197e-05,5.12024207485445e-05,4.848898719660661e-05,5.193243072153211e-05,3.954578845839112e-05,3.9992971105382176e-05,4.058428899432477e-05,4.902393714197028e-05,4.8210207248714414e-05,4.816963667904098e-05,4.375465925481918e-05,3.742487664677385e-05,5.0499946147708085e-05,4.650777184104607e-05,TH840705
4.331745828020461e-05,5.385738484121922e-05,4.953923234955773e-05,4.195556780936539e-05,4.0941167379522826e-05,4.099594777639487e-05,4.395344712838523e-05,4.10353538739279e-05,4.2762721677752966e-05,4.196590170719149e-05,3.549256536390296e-05,4.208066364695725e-05,4.572454649911857e-05,4.846817680719945e-05,4.129378287206991e-05,4.089215585627871e-05,4.525163245656989e-05,4.488695574192e-05,4.391916406420404e-05,4.344799782381617e-05,4.5066316158441175e-05,3.712530265271021e-05,3.944518049642268e-05,3.818296037924307e-05,TH840801
4.588406320823788e-05,5.628832733622314e-05,5.0098849904081215e-05,4.236717442249865e-05,4.1932936351881527e-05,4.363049192934803e-05,4.6322409193215486e-05,4.326739714640127e-05,4.433945670155822e-05,4.377913638860456e-05,3.796451850403264e-05,4.4672799502968375e-05,4.806035496966267e-05,4.992537892391168e-05,4.038129435300412e-05,3.9673915396965895e-05,4.5281095288866325e-05,4.714914467936536e-05,4.642647558818479e-05,4.599964950694175e-05,4.691979836902991e-05,3.833785016069188e-05,4.218388146983851e-05,4.044457502787935e-05,TH840802
4.899410019250832e-05,5.8980139985704846e-05,4.9917595314846976e-05,4.258436486206461e-05,4.300140675605014e-05,4.700336292736973e-05,4.930409880607284e-05,4.576463503755739e-05,4.641032704069511e-05,4.53427421253225e-05,4.014093443168184e-05,4.839254208404549e-05,5.11470516091217e-05,5.075322524944095e-05,3.814490761882334e-05,3.5534388902769826e-05,4.508959276476006e-05,4.998692019552818e-05,4.987285748694819e-05,4.929130507285165e-05,4.8939410273345855e-05,3.9126017675420085e-05,4.510521335388131e-05,4.2823829904447227e-05,TH840807
4.323354846228436e-05,5.396736646357235e-05,4.8809358549733455e-05,4.231355212798556e-05,4.094495748286919e-05,4.148600941755964e-05,4.451941781152768e-05,4.106228525725644e-05,4.3128933317935535e-05,4.2488610167250334e-05,3.5857784905532936e-05,4.239861870103289e-05,4.618597550219257e-05,4.9221008707665165e-05,4.266216493618429e-05,4.076333088565694e-05,4.628731320210709e-05,4.491650622837217e-05,4.4094026579669775e-05,4.314317733758981e-05,4.554964177253751e-05,3.774105678023496e-05,3.9500829442477325e-05,3.8144148524598205e-05,TH840903
4.068244426309877e-05,5.307120325621695e-05,4.889592081998165e-05,4.196842056536231e-05,3.974837553585775e-05,3.9316650789886025e-05,4.266963466479253e-05,3.98154557189332e-05,4.186987798288797e-05,4.1621388854928e-05,3.429321768394117e-05,4.12393868294522e-05,4.508463743079614e-05,4.938993511455678e-05,4.529005528311468e-05,4.265594810180056e-05,4.538204281878957e-05,4.291302511851327e-05,4.250191187493583e-05,4.15440585319394e-05,4.362994486471711e-05,3.739378606513496e-05,3.783315219668359e-05,3.685209974700071e-05,TH841001
3.96420426713284e-05,5.339164608586172e-05,4.792213963512677e-05,4.076160578407642e-05,3.8087030926747454e-05,3.867179876928925e-05,4.197871099281756e-05,3.996164696618463e-05,4.190696179876705e-05,4.1410279513845214e-05,3.4040383834739084e-05,4.1286667300677217e-05,4.437391068050538e-05,5.0066779071453845e-05,4.703751248691254e-05,4.300358345553781e-05,4.421745825852516e-05,4.1798721977160086e-05,4.1708025729193584e-05,4.066638486219141e-05,4.258514171633484e-05,3.688717282622716e-05,3.669833664278318e-05,3.695530942236536e-05,TH841004
4.181639614065831e-05,5.365072492103141e-05,4.896844609533809e-05,4.284403167285387e-05,4.072048998149508e-05,4.086716714715718e-05,4.415750073532096e-05,4.090307824204083e-05,4.295724271779573e-05,4.239350692864124e-05,3.54121005341991e-05,4.2342134533364655e-05,4.591917317412414e-05,4.958214041807356e-05,4.4360507966728775e-05,4.205854660073088e-05,4.623773689879503e-05,4.451187260989125e-05,4.377682330208915e-05,4.290102784003278e-05,4.492649641038559e-05,3.7788151881615e-05,3.878010304323826e-05,3.771276973736529e-05,TH841005
4.116638499281286e-05,4.721028973236761e-05,3.8221385529863126e-05,3.244402513164506e-05,3.299856886906024e-05,3.660238054851832e-05,3.902739963911134e-05,3.518910592005566e-05,3.5986204924845794e-05,3.548626891815741e-05,3.298881512835108e-05,3.963201258506248e-05,3.973492411891503e-05,3.931257716983786e-05,2.7860934129311396e-05,2.6678268925822516e-05,3.1373395619233804e-05,3.783293377946391e-05,3.8457899966611e-05,3.671084896836663e-05,3.558395800580517e-05,2.998894025518705e-05,3.8629670994677294e-05,3.585805964205104e-05,TH841101
4.311098094796917e-05,5.020359994126681e-05,4.120738919658728e-05,3.552697726234089e-05,3.560073474161736e-05,3.933545931261084e-05,4.16709818113436e-05,3.792183731192796e-05,3.860086494788839e-05,3.7670972711155936e-05,3.4295114186848666e-05,4.140613905157693e-05,4.166769892274284e-05,4.171525950208438e-05,2.973888023938958e-05,2.967426823793358e-05,3.4790965913159045e-05,4.128372728179355e-05,4.17743349234168e-05,4.052710180437917e-05,3.9297778940613454e-05,3.223847881927349e-05,4.034796018704829e-05,3.739482771378583e-05,TH841102
5.073416887876075e-05,5.925226812582886e-05,4.864363946164855e-05,4.1747865953301306e-05,4.20699484840658e-05,4.646762699588459e-05,4.9071661583400807e-05,4.487191580382074e-05,4.573502077177309e-05,4.4619219143453954e-05,4.07354753471678e-05,4.900934245498008e-05,4.9726923582445255e-05,4.945075278853606e-05,3.5414074933499784e-05,3.452869146400988e-05,4.138817107214851e-05,4.856702040033637e-05,4.893925175992983e-05,4.766024363242964e-05,4.643117063949631e-05,3.825018727013961e-05,4.749784328440049e-05,4.42280555303562e-05,TH841103
