Zone,Tambon,Year,WeightedLoss,WeightSum,min_plant_date,max_plant_date,Loss
C1,10-3-6,2022,0.0,245700.0,2022-05-01,2022-07-30,0.0
C1,10-3-7,2015,0.0,323200.0,2015-05-01,2015-09-15,0.0
C1,10-3-7,2016,0.0,376700.0,2016-05-05,2016-10-31,0.0
C1,10-3-7,2017,0.0,312300.0,2017-05-01,2017-10-03,0.0
C1,10-3-7,2018,0.0,211500.0,2018-05-01,2018-07-01,0.0
C1,10-3-7,2019,0.0,389643.0,2019-05-01,2019-10-25,0.0
C1,10-3-7,2020,0.0,329800.0,2020-05-01,2020-07-15,0.0
C1,10-3-7,2021,0.0,45157.0,2021-05-05,2021-06-02,0.0
C1,10-3-7,2022,0.0,129957.0,2022-05-01,2022-10-01,0.0
C1,10-3-8,2015,6000.0,615300.0,2015-05-01,2015-09-20,0.009751340809361287
C1,10-3-8,2016,0.0,639600.0,2016-05-09,2016-09-07,0.0
C1,10-3-8,2017,0.0,370800.0,2017-05-01,2017-08-29,0.0
C1,10-3-8,2018,0.0,262500.0,2018-05-01,2018-09-08,0.0
C1,10-3-8,2019,0.0,600700.0,2019-05-01,2019-10-19,0.0
C1,10-3-8,2020,0.0,462100.0,2020-05-07,2020-07-28,0.0
C1,10-3-8,2021,0.0,73100.0,2021-05-01,2021-07-20,0.0
C1,10-3-8,2022,0.0,186100.0,2022-05-01,2022-05-30,0.0
C1,10-32-3,2019,0.0,24800.0,2019-06-22,2019-06-22,0.0
C1,10-32-3,2020,0.0,34800.0,2020-05-02,2020-06-21,0.0
C1,10-42-1,2015,0.0,18000.0,2015-07-30,2015-10-25,0.0
C1,10-42-1,2016,0.0,28400.0,2016-05-24,2016-07-24,0.0
C1,10-42-1,2017,0.0,20800.0,2017-08-03,2017-10-01,0.0
C1,10-42-1,2018,0.0,4800.0,2018-06-16,2018-06-16,0.0
C1,10-42-1,2019,0.0,30000.0,2019-05-20,2019-10-05,0.0
C1,10-42-1,2020,0.0,13200.0,2020-05-07,2020-05-23,0.0
C1,10-42-1,2021,0.0,10000.0,2021-05-15,2021-06-01,0.0
C1,10-42-1,2022,0.0,8400.0,2022-05-01,2022-05-20,0.0
C1,10-42-2,2015,0.0,44800.0,2015-05-26,2015-06-30,0.0
C1,10-42-2,2016,0.0,38300.0,2016-05-25,2016-08-27,0.0
C1,10-42-2,2017,0.0,33200.0,2017-05-08,2017-05-16,0.0
C1,10-42-2,2018,0.0,37900.0,2018-05-01,2018-05-27,0.0
C1,10-42-2,2019,0.0,73200.0,2019-05-07,2019-10-13,0.0
C1,10-42-2,2020,0.0,74900.0,2020-05-01,2020-05-26,0.0
C1,10-42-2,2021,0.0,51200.0,2021-05-01,2021-08-01,0.0
C1,10-42-2,2022,0.0,45200.0,2022-05-09,2022-08-01,0.0
C1,10-42-3,2015,0.0,8000.0,2015-05-28,2015-05-28,0.0
C1,10-42-3,2016,0.0,8000.0,2016-07-07,2016-07-07,0.0
C1,10-42-3,2017,0.0,8000.0,2017-07-27,2017-07-27,0.0
C1,10-42-3,2018,0.0,18800.0,2018-05-26,2018-05-31,0.0
C1,10-42-3,2019,0.0,27600.0,2019-05-11,2019-06-12,0.0
C1,10-42-3,2020,0.0,46400.0,2020-05-10,2020-06-13,0.0
C1,10-42-3,2021,0.0,45600.0,2021-05-02,2021-05-17,0.0
C1,10-42-3,2022,0.0,26800.0,2022-05-20,2022-06-13,0.0
C1,10-44-1,2015,0.0,20800.0,2015-05-08,2015-05-15,0.0
C1,10-44-1,2016,0.0,22000.0,2016-05-15,2016-06-10,0.0
C1,10-44-1,2017,0.0,6204.0,2017-05-12,2017-05-12,0.0
C1,10-44-1,2018,0.0,11004.0,2018-05-14,2018-05-20,0.0
C1,10-44-1,2019,0.0,6204.0,2019-05-01,2019-05-01,0.0
C1,10-44-1,2020,0.0,8204.0,2020-05-01,2020-05-01,0.0
C1,10-46-1,2015,0.0,247448.0,2015-05-01,2015-09-27,0.0
C1,10-46-1,2016,0.0,371848.0,2016-05-02,2016-08-23,0.0
C1,10-46-1,2017,0.0,265600.0,2017-05-09,2017-10-30,0.0
C1,10-46-1,2018,0.0,231848.0,2018-05-01,2018-09-13,0.0
C1,10-46-1,2019,0.0,330600.0,2019-05-05,2019-10-28,0.0
C1,10-46-1,2020,0.0,212300.0,2020-05-01,2020-07-28,0.0
C1,10-46-1,2021,0.0,86400.0,2021-05-02,2021-07-10,0.0
C1,10-46-1,2022,0.0,235000.0,2022-05-01,2022-08-15,0.0
C1,10-46-2,2015,0.0,983200.0,2015-05-01,2015-09-25,0.0
C1,10-46-2,2016,0.0,1218800.0,2016-05-01,2016-09-08,0.0
C1,10-46-2,2017,0.0,906000.0,2017-05-01,2017-08-25,0.0
C1,10-46-2,2018,0.0,538600.0,2018-05-01,2018-10-18,0.0
C1,10-46-2,2019,0.0,1260900.0,2019-05-01,2019-10-05,0.0
C1,10-46-2,2020,0.0,925700.0,2020-05-01,2020-07-16,0.0
C1,10-46-2,2021,0.0,970300.0,2021-05-01,2021-08-21,0.0
C1,10-46-2,2022,0.0,951600.0,2022-05-01,2022-10-31,0.0
C1,10-46-4,2015,0.0,89600.0,2015-05-22,2015-10-30,0.0
C1,10-46-4,2016,0.0,182800.0,2016-05-07,2016-08-09,0.0
C1,10-46-4,2017,0.0,146800.0,2017-05-01,2017-10-30,0.0
C1,10-46-4,2018,0.0,156400.0,2018-05-01,2018-09-05,0.0
C1,10-46-4,2019,0.0,184400.0,2019-05-10,2019-10-18,0.0
C1,10-46-4,2020,6000.0,176800.0,2020-05-01,2020-09-20,0.033936651583710405
C1,10-46-4,2021,0.0,95200.0,2021-05-01,2021-10-04,0.0
C1,10-46-4,2022,0.0,62000.0,2022-05-01,2022-08-18,0.0
C1,10-46-5,2015,0.0,75159.0,2015-05-17,2015-10-31,0.0
C1,10-46-5,2016,0.0,193959.0,2016-06-07,2016-10-25,0.0
C1,10-46-5,2017,0.0,158159.0,2017-05-02,2017-10-26,0.0
C1,10-46-5,2018,0.0,159000.0,2018-05-01,2018-08-23,0.0
